	0.0 s	900995.0 s	1801990.0 s	2702985.0 s	3603980.0 s	4504975.0 s	5405970.0 s	6306965.0 s	7207960.0 s	8108955.0 s	9009950.0 s	9910945.0 s	10811940.0 s	11712935.0 s	12613930.0 s	13514925.0 s	14415920.0 s	15316915.0 s	16217910.0 s	17118905.0 s
19	721156.4799863797	719973.5453746914	718792.5511351922	717613.4940851316	716436.3710469791	715261.1788484165	714087.914322329	712916.5743067964	711747.155645085	710579.6551856392	709414.0697820722	708250.3962931586	707088.6315828253	705928.7725201428	704770.8159793175	703614.7588396828	702460.5979856906	701308.3303069033	700157.9526979853	699009.4620586943
20	444609.81734151044	443880.2949054168	443151.9694503338	442424.83901233465	441698.90163071465	440974.1553479861	440250.5982098729	439528.2282653054	438807.043566415	438087.04216852895	437368.2221301651	436650.5815130267	435934.11838199716	435218.8308051349	434504.7168536679	433791.7746019889	433080.0021276497	432369.39751135657	431659.9588369644	430951.68419147213
21	274112.3045551458	273662.36943996674	273213.1728303817	272764.71351428336	272316.9902815536	271870.0019240605	271423.74723565497	270978.2250121674	270533.43405140465	270089.37315314653	269646.04111914284	269203.43675310985	268761.5588607273	268320.4062496351	267879.9777294301	267440.2721116628	267001.2882098343	266563.0248393931	266125.4808177317	265688.6549641837
22	168996.59116713924	168719.0655388685	168441.99563316553	168165.38070173672	167889.21999751718	167613.51277466855	167338.2582885771	167063.4557958517	166789.10455432176	166515.20382303526	166241.75286225678	165968.75093346546	165696.19729935302	165424.09122382177	165152.4319719826	164881.21881015302	164610.45100585526	164340.12782781408	164070.248545955	163800.8124314022
23	104190.29577581031	104019.0936507309	103848.17281096803	103677.53279441266	103507.17313971487	103337.09338628256	103167.29307428027	102997.77174462791	102828.52893899953	102659.56419982207	102490.87707027413	102322.46709428473	102154.33381653207	101986.47678244236	101818.89553818849	101651.58963068889	101484.55860760623	101317.80201734629	101151.31940905662	100985.11033262548
24	64235.70386530295	64130.07521103642	64024.62022375036	63919.33861795541	63814.23010863143	63709.29441122681	63604.531241657605	63499.940316306835	63395.521352023694	63291.274066122765	63187.1981763833	63083.29340104841	62979.55945882433	62875.996068879664	62772.602950844586	62669.37982481013	62566.326411327405	62463.44243140684	62360.72760651742	62258.18165858598
25	39602.77013431421	39537.58657212069	39472.5102704717	39407.54105290771	39342.67874325944	39277.923165647364	39213.27414448126	39148.73150445971	39084.29507056964	39019.96466808585	38955.74012257052	38891.62125987276	38827.60790612812	38763.699887758135	38699.897031469845	38636.19916425532	38572.6061133912	38509.117706438235	38445.7337712408	38382.45413592643
26	24415.997285603255	24375.762674922524	24335.594339249772	24295.49216945303	24255.456056579977	24215.48589185764	24175.58156669211	24135.742972668246	24095.97000154937	24056.26254527698	24016.620495970466	23977.0437459268	23937.532187620254	23898.08571370211	23858.704217000355	23819.387590519415	23780.135727439836	23740.948521118018	23701.82586508591	23662.76765305073
27	15053.003086897981	15028.160659509253	15003.359204113796	14978.598653172201	14953.878939256341	14929.199995049197	14904.561753344666	14879.964147047382	14855.407109172535	14830.890572845687	14806.41447130259	14781.97873788901	14757.583306060536	14733.228109382406	14708.913081529325	14684.638156285282	14660.403267543375	14636.20834930563	14612.053335682818	14587.938160894277
28	9280.503860246467	9265.15928723002	9249.840059557675	9234.546135397202	9219.277472985379	9204.034030627869	9188.815766699108	9173.622639642193	9158.454607968772	9143.31163025892	9128.193665161041	9113.100671391743	9098.032607735731	9082.989433045695	9067.971106242197	9052.977586313558	9038.008832315749	9023.064803372275	9008.145458674073	8993.250757479385
29	5721.627902949502	5712.145360945597	5702.67850934259	5693.227322206781	5683.791773647299	5674.371837816031	5664.967488907546	5655.57870115903	5646.205448850215	5636.847706303308	5627.505447882919	5618.178647995993	5608.867281091742	5599.571321661573	5590.290744239015	5581.025523399657	5571.775633761073	5562.541049982753	5553.321746766038	5544.1176988540465
30	3527.5016412893688	3521.638137066147	3515.7843546581134	3509.9402779711163	3504.105890937615	3498.281177516637	3492.4661216937316	3486.660707480929	3480.864918916695	3475.0787400658864	3469.30215501971	3463.5351478956763	3457.7777028375585	3452.0298040153475	3446.291435625208	3440.562581889438	3434.843227056423	3429.1333554005937	3423.4329512223835	3417.7419988481847
31	2174.774749841182	2171.1463199441473	2167.523919622764	2163.9075388777055	2160.297167726199	2156.692796201999	2153.0944143553606	2149.50201225301	2145.9155799781192	2142.3351076302783	2138.760585325467	2135.1920031960303	2131.6293513906485	2128.072620074312	2124.521799428294	2120.976879650122	2117.437850953555	2113.904703568551	2110.3774277412454	2106.8560137339205
32	1340.7896170879892	1338.542156609651	1336.2984397001178	1334.058460138868	1331.8222117156895	1329.5896882306622	1327.3608834941413	1325.1357913267404	1322.9144055593147	1320.696720032943	1318.482728598912	1316.2724251186987	1314.0658034639537	1311.862857516484	1309.663581168237	1307.4679683212828	1305.2760128877978	1303.0877087900483	1300.903049960373	1298.722030341167
33	826.6203831498782	825.2266489522674	823.8352414756932	822.446156844692	821.0593911902248	819.6749406496667	818.2928013667964	816.9129694917854	815.5354411811869	814.160212597926	812.7872799112887	811.4166392969111	810.0482869367692	808.6822190191682	807.3184317387321	805.9569212963928	804.5976838993803	803.2407157612114	801.8860131016799	800.5335721468455
34	509.6246978452765	508.7591135633655	507.8949767070483	507.03228485718927	506.17103559865376	505.3112265203013	504.45285521497897	503.59591927951453	502.7404163147097	501.88634392533356	501.0336997201159	500.1824813117404	499.33268631683796	498.4843123559802	497.63735705367264	496.7918180383482	495.94769294236033	495.10497940197683	494.26367505737267	493.42377755262385
35	314.1907664027134	313.6522036018851	313.1145416606398	312.5777790642308	312.04191430038935	311.5069458593204	310.97287223369807	310.4396919186615	309.90740341181015	309.3760052131997	308.8454958253375	308.3158737531784	307.7871375041202	307.2592855879995	306.73231651708704	306.2062288060837	305.68102097211596	305.1566915347316	304.6332390158953	304.1106619399845
36	193.70221840201995	193.36636356355427	193.03106917485144	192.69633428177843	192.36215793170584	192.0285391735047	191.69547705754334	191.36297063568426	191.03101896128078	190.69962108917395	190.36877607568937	190.038482978634	189.70874085729287	189.37954877242595	189.05090578626493	188.72281096250998	188.39526336632653	188.06826206434215	187.7418061246432	187.41589461677165
37	119.41902850913752	119.20899612414402	118.99931167033343	118.78997453905683	118.58098412251528	118.37233981375672	118.16404100667299	117.95608709599668	117.74847747729808	117.54121154698205	117.33428870228494	117.12770834127133	116.92146986283097	116.71557266667551	116.51001615333531	116.30479972415623	116.09992278129626	115.8953847277224	115.69118496720722	115.48732290432558
38	73.62234549823498	73.49054478368032	73.3589589420682	73.22758757452539	73.09643028253852	72.96548666794978	72.83475633295241	72.70423888008636	72.57393391223366	72.44384103261382	72.31395984477922	72.1842899526103	72.05483096031082	71.92558247240294	71.79654409372226	71.66771542941285	71.5390960849221	71.41068566599546	71.28248377867132	71.15449002927554
39	45.38812062326763	45.305063831454135	45.222138316590886	45.13934380274691	45.05668001390105	44.974146673933625	44.891743506617914	44.80947023561146	44.727326584447184	44.6453122765243	44.56342703509905	44.481670583275175	44.400042643994205	44.318542940025544	44.237171193956286	44.155927128180785	44.07481046488999	43.99382092606053	43.912958233443476	43.832222108552884
40	27.98145221287519	27.92884529322934	27.87631691345411	27.823866863555814	27.77149493292002	27.719200910293715	27.666984583766904	27.614845740753722	27.56278416797295	27.510799651427963	27.458891976386056	27.407060927357147	27.355306288071798	27.30362784145853	27.25202536962039	27.200498653810758	27.149047474408302	27.097671610891066	27.046370841809626	26.995144944759232
41	17.250139561976763	17.216615089034708	17.18313572311274	17.149701280980352	17.116311578026473	17.082966428220054	17.04966564406918	17.016409036578604	16.983196415205615	16.950027587814155	16.916902360627073	16.88382053817636	16.850781923251233	16.817786316843943	16.784833518092995	16.751923324223686	16.71905553048554	16.686229930086398	16.65344631412265	16.620704471505206
